year,rank,word,count
2023,1,really,8730
2023,2,helpful,8474
2023,3,here,8414
2023,4,friendly,8079
2023,5,restaurants,7473
2023,6,space,7038
2023,7,house,7035
2023,8,needed,6334
2023,9,area,5866
2023,10,airbnb,5595
2023,11,back,5265
2023,12,need,5093
2023,13,city,4925
2023,14,hosts,4805
2023,15,parking,4661
2023,16,felt,4562
2023,17,distance,4353
2023,18,right,4336
2023,19,made,4225
2023,20,view,4058
2023,21,neighborhood,4045
2023,22,always,4023
2023,23,even,3829
2023,24,convenient,3787
2023,25,around,3581
2023,26,amenities,3569
2023,27,lots,3566
2023,28,located,3525
2023,29,kind,3411
2023,30,instructions,3388
2023,31,exactly,3385
2023,32,little,3300
2023,33,street,3282
2023,34,subway,3265
2023,35,station,3231
2023,36,family,3227
2023,37,best,3187
2023,38,questions,3141
2023,39,spacious,3090
2023,40,accommodating,3079
2023,41,unit,3048
2023,42,extremely,3021
2023,43,next,3019
2023,44,access,3000
2023,45,spot,2961
2023,46,condo,2961
2023,47,feel,2890
2023,48,fantastic,2847
2023,49,come,2796
2023,50,described,2746
2023,51,short,2669
2023,52,public,2627
2023,53,building,2616
2023,54,provided,2595
2023,55,safe,2588
2023,56,visit,2539
2023,57,clear,2508
2023,58,walkable,2468
2023,59,shops,2451
2023,60,bien,2346
2023,61,absolutely,2327
2023,62,sure,2324
2023,63,looking,2300
2023,64,nous,2292
2023,65,coffee,2263
2023,66,private,2247
2023,67,near,2229
2023,68,able,2223
2023,69,welcoming,2220
2023,70,book,2211
2023,71,neighbourhood,2211
2023,72,trip,2173
2023,73,pour,2171
2023,74,anyone,2165
2023,75,things,2161
2023,76,find,2145
2023,77,people,2139
2023,78,first,2041
2023,79,logement,2016
2023,80,small,1991
2023,81,peaceful,1985
2023,82,didn,1957
2023,83,recommended,1950
2023,84,being,1941
2023,85,awesome,1905
2023,86,tower,1890
2023,87,available,1860
2023,88,long,1844
2023,89,enough,1838
2023,90,basement,1837
2023,91,places,1796
2023,92,comfy,1688
2023,93,price,1669
2023,94,transit,1667
2023,95,pictures,1663
2023,96,every,1661
2023,97,park,1658
2023,98,quickly,1656
2023,99,better,1653
2023,100,help,1650
2026,1,here,15224
2026,2,really,10882
2026,3,space,10404
2026,4,helpful,10395
2026,5,needed,10323
2026,6,restaurants,8995
2026,7,made,8956
2026,8,friendly,8749
2026,9,area,8395
2026,10,parking,7341
2026,11,back,7022
2026,12,airbnb,6994
2026,13,hosts,6871
2026,14,exactly,6699
2026,15,city,6685
2026,16,house,6665
2026,17,felt,6611
2026,18,convenient,6450
2026,19,described,5845
2026,20,right,5840
2026,21,view,5806
2026,22,need,5508
2026,23,unit,5458
2026,24,instructions,5369
2026,25,even,5310
2026,26,distance,5158
2026,27,spot,5096
2026,28,around,4992
2026,29,kind,4689
2026,30,neighborhood,4653
2026,31,lots,4539
2026,32,always,4483
2026,33,absolutely,4470
2026,34,family,4391
2026,35,access,4365
2026,36,fantastic,4365
2026,37,walkable,4230
2026,38,spacious,4206
2026,39,amenities,4206
2026,40,nous,4181
2026,41,building,4168
2026,42,little,4153
2026,43,located,4135
2026,44,clear,4098
2026,45,accommodating,4069
2026,46,condo,4003
2026,47,questions,3917
2026,48,bien,3907
2026,49,street,3880
2026,50,feel,3820
2026,51,extremely,3776
2026,52,come,3707
2026,53,anyone,3687
2026,54,pour,3617
2026,55,logement,3602
2026,56,station,3508
2026,57,next,3503
2026,58,trip,3450
2026,59,welcoming,3445
2026,60,provided,3424
2026,61,book,3409
2026,62,short,3377
2026,63,safe,3347
2026,64,throughout,3293
2026,65,looking,3276
2026,66,best,3271
2026,67,appreciated,3225
2026,68,visit,3153
2026,69,tait,3081
2026,70,able,3078
2026,71,being,2927
2026,72,subway,2925
2026,73,shops,2910
2026,74,sure,2908
2026,75,incredibly,2907
2026,76,public,2894
2026,77,tower,2868
2026,78,peaceful,2864
2026,79,coffee,2783
2026,80,jour,2763
2026,81,views,2747
2026,82,find,2641
2026,83,things,2630
2026,84,didn,2620
2026,85,small,2586
2026,86,better,2576
2026,87,people,2551
2026,88,centre,2535
2026,89,private,2495
2026,90,first,2472
2026,91,visiting,2464
2026,92,especially,2462
2026,93,making,2443
2026,94,itself,2439
2026,95,photos,2391
2026,96,price,2388
2026,97,near,2377
2026,98,having,2358
2026,99,property,2353
2026,100,plenty,2297
